Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
1.13k1,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,137.95,-69.6175,90.0,top
1.18k1,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,137.03,-69.6325,90.0,top
1.5k1,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,136.46,-88.94,180.0,top
1.5k2,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,136.9525,-92.96,0.0,top
100K2,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.301854,-77.941854,135.0,top
100k1,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,136.42,-88.05,0.0,top
1M1,R,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,156.161,-102.320117,0.0,top
BLUE1,LED,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,134.52,-88.32,0.0,top
C1,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,139.93,-66.3625,90.0,top
C10,2.2uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.1425,-91.05,0.0,top
C11,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.13,-91.88,0.0,top
C12,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.1575,-89.37,0.0,top
C13,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.19,-86.79,0.0,top
C14,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.1775,-87.64,0.0,top
C15,10uf,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,144.1425,-58.6,90.0,top
C16,10uf,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,149.565,-58.57,90.0,top
C17,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,167.04,-84.66,90.0,top
C18,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,160.43,-83.1425,90.0,top
C19,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,145.1825,-104.88,0.0,top
C2,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,154.5175,-87.78,180.0,top
C20,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.091854,-81.541854,-45.0,top
C21,22pf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,156.215383,-101.445,0.0,top
C22,22pf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,156.215383,-103.195,0.0,top
C23,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.1675,-88.55,0.0,top
C24,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.2075,-85.96,0.0,top
C27,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,137.57,-81.38,90.0,top
C28,4.7uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,133.18,-87.2,0.0,top
C29,4.7uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,155.95,-118.74,0.0,bottom
C3,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,164.5075,-82.48,0.0,top
C30,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,155.98,-117.23,0.0,bottom
C31,10uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,162.7575,-114.0,180.0,bottom
C32,10uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,128.1175,-90.2,180.0,top
C33,2.2uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,146.7825,-69.31,0.0,top
C34,2.2uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,135.9,-76.1975,-90.0,top
C35,100n,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,159.27,-92.49,-90.0,top
C36,100nf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.09,-71.93,180.0,top
C4,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,150.7575,-82.09,0.0,top
C5,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,152.7575,-84.7,0.0,top
C6,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,148.838146,-80.948146,-45.0,top
