Comment,Designator,Footprint,LCSC,Quantity
Back,S4,SW_TS-1088-AR02016,C720477,1
Down,S7,SW_TS-1088-AR02016,C720477,1
HYCW19-TF09-205B,U4,MICRO-SD-SMD_HYCW19-TF09-205B,C2962032,1
Left,S8,SW_TS-1088-AR02016,C720477,1
Power On/Off,S9,SW_TS-1088-AR02016,C720477,1
Right,S2,SW_TS-1088-AR02016,C720477,1
Select,S5,SW_TS-1088-AR02016,C720477,1
Up,S6,SW_TS-1088-AR02016,C720477,1
Vol+,S1,SW_TS-1088-AR02016,C720477,1
Vol-,S3,SW_TS-1088-AR02016,C720477,1
10uf,C31,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
R,R10k1,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
4.7uf,C29,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
2.2uf,C33,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C30,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
5.1k,R4,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R15,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R2,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
5.1k,R6,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1.8k,R3,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R21,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C20,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
Crystal,Y1,Crystal_SMD_MicroCrystal_CC1V-T1A-2Pin_8.0x3.7mm_HandSoldering,,1
NCP1117-3.3_SOT223,U6,SOT-223-3_TabPin2,,1
BQ24075RGT,U5,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,1
VLSI VS1063A-L,U3,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,1
TI TPA6132A2RTER,U2,WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6,,1
STM32F401VEH6,U1,UFBGA-100_L7.0-W7.0-P0.50-TL_ST_STM32,,1
1.8k,R50,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R20,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R19,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R18,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R17,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R16,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R14,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R13,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R12,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R11,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100k,R10,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100k,R9,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100k,R8,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R7,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
46.4k,R5,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10k,R1,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
HS91L02W2C01,OLED1,OLED-TH_L38.0-W12.0_HS91L02W2C01,,1
Conn_01x03,J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,,1
AudioJack,J2,AUDIO-SMD_SJ-3524-SMT-TR-BE,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_Palconn_UTC16-G,,1
RED,D1,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C36,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100n,C35,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
2.2uf,C34,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10uf,C32,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
4.7uf,C28,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C27,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C23,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
22pf,C22,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
22pf,C21,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C19,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C18,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C17,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10uf,C16,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,,1
10uf,C15,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,,1
100nf,C14,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C13,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C12,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C11,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
2.2uf,C10,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C9,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
100nf,C8,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10uf,C7,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,,1
1uf,C6,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C5,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C4,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C3,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C2,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C1,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
LED,BLUE1,LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
